Site,Trap,Color,Date,Treatment,Apis_melifera,Bombus_bimaculatus,Bombus impatiens,Bombus rufocinctus,Bombus griseocollis,Bombus vagans,Bombus_fervidus,Bombus citrinus,Bombus ternarius,Andrena_crataegi,Andrena_cressoni,Andrena_forbesi,Andrena_hippotes,Andrena_wilkea,Andrena_ostenis,Andrena_biseleasis,Andrena_miranda,Andrena_nasoni,Agapostemon virescens,Agpostemon_sericeus,Agpostemon_splendens,Augochorella_aurata,Augochorella_pura,Augochloropsis n. falgida,Ceratina calcarata,Ceratina mikmaqi,Peponapis pruinosa,Andrena_jermindus,Sphecodes_dichrous,Sphecodes_cressoni,Anthidium_manicatum,Anthidium_oblongatum,Hyleaus_mesillae,Hyleaus_affinis,Hylaeus_annulatus,Hylaeus_hyalinantus,Hylaeus_modestus,Dufourea_monardae,Heriades carinata,Hoplitis pilosifrons,Stelis lateralis,Megachile texana,Megachile relativa,Megachile_campunulae,Megachile_centicularis,Megachile_rotundata,Megachile_latimanus,Megachile montivago,Megachile_gemula,Nomada cressoni,Melissodes_subillatus,Melissodes_denticulatus,Melissodes agilis,Melissodes_desponsus,Melissodes_druinellus,Melisodes_rustica,Melisodes_bimaculatus,Lasioglossu_laevissimum,Lasioglossum_anomalum,Lasioglossum_zephyrum,Lasioglossum_absimile,Lasioglossum_cinctipes,Lasioglossum_hitchensi,Lasioglossum_smilacinae ,Lasioglossum_heterognathum,Lasioglossum_cressonii,lasioglossum versans,Lasioglossum_ellsiae,Lasioglossum_paravida,Lasioglossum pilosum,Lasioglossum macoupinense ,Lasioglossum versatum,Lasioglossum coriaceum,Lasioglossum coeruleum,Lasioglossum bruneri ,Lasioglossum quebecense,Lasioglossum leucocomum ,Lasioglossum zonulum,Lasioglossum subviridatum,Lasioglossum platyparium,Lasioglossum_nr_pilosum,Lasioglossum_lnewasonia,Halictus confusus,Halictus rubicundus,Halictus ligatus,Osmia_pumila
BUBC,1,B,5/29/17,Suburban_Managed,0,,0,0,0,,,,0,,,,,,,,0,,0,,,,,0,1,0,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0
BUBC,1,BV,5/29/17,Suburban_Managed,0,,0,0,0,,,,0,,,,,,,,0,,0,,,,,0,0,0,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0
BUBC,1,R,5/29/17,Suburban_Managed,0,,0,0,0,,,,0,,,,,,,,0,,0,,,,,0,0,0,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0
BUBC,1,W,5/29/17,Suburban_Managed,0,,0,0,0,,,,0,,,,,,,,0,,0,,,,,0,0,0,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0
BUBC,1,Y,5/29/17,Suburban_Managed,0,,0,0,0,,,,0,,,,,,,,0,,0,,,,,0,0,0,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0
BUBC,2,B,5/29/17,Suburban_Managed,0,,0,0,0,,,,0,,,,,,,,0,,0,,,,,0,0,0,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0
BUBC,2,BV,5/29/17,Suburban_Managed,0,,0,0,0,,,,0,,,,,,,,0,,0,,,,,0,0,0,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0
BUBC,2,R,5/29/17,Suburban_Managed,0,,0,0,0,,,,0,,,,,,,,0,,0,,,,,0,0,0,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0
BUBC,2,W,5/29/17,Suburban_Managed,0,,0,0,0,,,,0,,,,,,,,0,,0,,,,,0,0,0,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0
BUBC,2,Y,5/29/17,Suburban_Managed,0,,0,0,0,,,,0,,,,,,,,0,,0,,,,,0,0,0,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,0
