name,Lat,Lon,Bee_richness_obs,Bee_richness_est,Coverage,Bee_abundance,Fdiv,Treatment,NDVI,tree.sp.rich.Shannon's,tree.sp.evenness,dist.water(m),dist.road(m),green.space(m),NLCD_PCo1,NLDC_PCo2,Florwe.sp.rich.Shannon's,Flower.sp.evenness,Color.Shannon's,Color.evenness
BUBF,44.316,-88.461,20,33,0.863,68,0.8429383,Managed_Suburban,0.565953416,0,0,241.74,745.86,5990332,0.543001284,0.125586649,1.3006,,1.6025,
BUBH,44.312,-88.453,23,41,0.833,97,0.7217371,Managed_Suburban,0.482858385,0,0,129.93,520.64,5990332,0.369316501,0.169476856,1.6213,,1.2825,
CITY,44.265,-88.4,8,9,0.843,21,0.6910477,Unmanaged_Urban,0.366892547,1.039720771,0.94639463,594.3,65.71,33808,-0.221717903,-0.259129566,0.0382,,0.1265,
HKRDT,44.21,-88.423,24,68,0.896,102,0.8096959,Manged_Urban,0.473614286,1.098612289,1,71.97,50.83,316719,0.164676278,-0.129775053,1.6973,,1.6868,
LCKR,44.323,-88.4301,21,26,0.924,137,0.5812192,Managed_Suburban,0.565953416,1.42919161,0.59972582,340,510,505882,0.055936505,-0.20566812,1.0529,,1.2403,
MAIN,44.261,-88.399,11,12,0.911,31,0.7680254,Unmanaged_Urban,0.268162733,1.039720771,0.94639463,140.75,80.32,23158,-0.097526151,-0.337454472,0.0824,,0.6557,
MEMPK,44.291,-88.385,29,46,0.919,166,0.7809847,Manged_Urban,0.449131677,0,0,88.05,123.49,405443,-0.333140192,0.121209591,1.3196,,0.7267,
PBDY,44.268,-88.388,11,21,0.785,24,0.7687868,Unmanaged_Urban,0.47601677,0,0,294.44,50.84,122117,-0.341032375,0.057922749,0.6804,,0.9821,
PRCPK,44.252,-88.422,9,21,0.855,22,0.7156982,Unmanaged_Urban,0.430730435,1.039720771,0.94639463,145.49,120.62,140769,-0.05557707,0.035802763,0.6365,,0,
PRDYF,44.342,-88.372,27,38,0.956,214,0.6928304,Managed_Suburban,0.462875155,0,0,179.03,107.91,494220,0.199872745,0.146495147,1.4439,,1.7912,
PRDYH,44.336,-88.361,30,66,0.909,223,0.7156987,Managed_Suburban,0.460322981,0,0,31.52,106.83,494220,0.13037735,-0.013670465,1.4623,,0.4661,
RVWF,44.252,-88.406,18,26,0.81,45,0.8047729,Unmanaged_Urban,0.44226087,1.098612289,1,136.75,27.76,265253,-0.216939341,0.061642234,0.2755,,0.6409,
RVWH,44.25,-88.413,20,24,0.934,95,0.8807748,Manged_Urban,0.510543274,1.098612289,1,247.01,142.53,265253,-0.361927639,0.353648875,1.1727,,0.3948,
SLUG,44.259,-88.397,28,31,0.946,140,0.7840266,Manged_Urban,0.308482609,0.636514168,0.918295834,13.65,5.77,1787,0.045949432,-0.191682829,1.7075,,2.1168,
TLHPK,44.264,-88.382,16,35,0.726,34,0.8516271,Unmanaged_Urban,0.475336646,1.213007566,0.875,121.54,163.79,163061,-0.001318975,0.093495412,0.3046,,0.9566,
TISL,44.274,-88.26,25,47,0.934,97,0.6778469,Manged_Urban,0.476253416,1.498297461,0.769972582,219.8,165.07,644148,0.120049551,-0.027899772,0,,0,
